Modèle,AIC,MAPE,RMSE,MSE,MAE
"(1, 1, 0)(2, 0, 1, 6)",-246.6097930021154,5.139993805063236,2033.2362502349015,4134049.649269283,1609.8994058272785
"(1, 1, 0)(2, 0, 1, 12)",-212.38314762151148,5.5489421359686615,2174.2962375624656,4727564.128678294,1728.3008877493005
"(1, 1, 0)(2, 0, 2, 6)",-254.802674270071,5.15954317572124,2086.6844692429513,4354252.074179738,1618.8678267890473
"(1, 1, 0)(2, 0, 2, 12)",2405.925573935823,2039113.4475349442,688387383.2845763,4.738771894653861e+17,633266893.2966592
"(1, 1, 0)(2, 1, 0, 6)",-224.19205443782818,5.1356285794803584,2058.9252568216775,4239173.21317821,1620.2040812060452
"(1, 1, 0)(2, 1, 0, 12)",-170.5250295342596,5.638724466576542,2211.1991448006015,4889401.657966912,1756.7414297626447
"(1, 1, 0)(2, 1, 1, 6)",-227.1352052471128,5.200319172777617,2062.8848579902647,4255493.937325514,1633.0552052820715
"(1, 1, 0)(2, 1, 1, 12)",-168.7571279959651,5.629281599655954,2209.3326122765257,4881150.591668617,1754.8039689339648
"(1, 1, 0)(2, 1, 2, 6)",-239.93485497807566,5.071560441888414,2048.271051385423,4195414.299943547,1591.0783670928447
"(1, 1, 1)(0, 0, 0, 6)",-251.04885503800034,3.690741970131476,1571.5134526624122,2469654.5318989353,1155.2781099332112
"(1, 1, 1)(0, 0, 0, 12)",-251.04885503800034,3.690741970131476,1571.5134526624122,2469654.5318989353,1155.2781099332112
"(1, 1, 1)(0, 0, 1, 6)",-237.63075525332215,3.835715044188065,1594.5024226641506,2542437.9758818457,1198.2715136857785
"(1, 1, 1)(0, 0, 1, 12)",-232.76811501048496,4.254855410182468,1685.875635843032,2842176.6595291467,1326.5611001844693
"(1, 1, 1)(0, 0, 2, 6)",-232.13888714579974,4.1508737324598926,1681.7810484425556,2828387.4949005414,1295.0319084853747
"(1, 1, 1)(0, 0, 2, 12)",2341.45281766451,234.66659298145646,120347.7232909272,14483574501.30958,72827.48661350948
